Model,Reference,Protocol,Brand,ManufacturerURL,Remark,Unnamed: 6,Unnamed: 7,Type,Cable,SupportURL,Message,Selected,Number,Lens,Network,Base
CX350,CX350,Panasonic CX350,Panasonic,,,,Search about Panasonic et CX350,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/CX350,,False,0,Fixed,LAN wired,Fixed
DC-BGH1/BS1H,LumixBGH1,Not still documented,Panasonic,,,,Search about Panasonic et DC-BGH1/BS1H,,,,,False,0,Fixed,LAN wired,Fixed
DC-GH5S,LumixGH5S,Not still documented,Panasonic,,,,Search about Panasonic et DC-GH5S,,,,,False,0,Fixed,LAN wired,Fixed
EVA1,EVA1,Panasonic EVA1,Panasonic,,,,Search about Panasonic et EVA1,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/EVA1,,False,0,Fixed,LAN wired,Fixed
Lumix DC-GH5S,Lumix DC-GH5S,Panasonic DSLR,Panasonic,,,,Search about Panasonic et Lumix DC-GH5S,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Panasonic/GH5S,,False,0,Fixed,LAN wired,Fixed
Serial,P2Serial,Not still documented,Panasonic,,,,Search about Panasonic et Serial,,,,,False,0,Fixed,LAN wired,Fixed
Studio,PanaStudio,Not still documented,Panasonic,,,,Search about Panasonic et Studio,,,,,False,0,Fixed,LAN wired,Fixed
UC4000,UC4000,Panasonic UC,Panasonic,https://eu.connect.panasonic.com/be/fr/products/broadcast-proav/ak-uc4000,,,Search about Panasonic et UC4000,Shoulder Camcorder,Ethernet-RJ45,Not documented 202405,UC4000 very well covered,False,0,Fixed,LAN wired,Fixed
Varicam,Varicam,Panasonic Varicam,Panasonic,,,,Search about Panasonic et Varicam,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/Varicam,,False,0,Fixed,LAN wired,Fixed
Komodo,RedKomodo,Red IP,RED,,,,Search about RED et Komodo,Large Sensor,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/RED/Komodo,,False,0,Fixed,LAN wired,Fixed
V-Raptor,VRaptor,Red IP,RED,,,,Search about RED et V-Raptor,Large Sensor,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/RED/Komodo,,False,0,Fixed,LAN wired,Fixed
20/40 UHD,Roboshot,Not still documented,RoboSHOT,,,,Search about RoboSHOT et 20/40 UHD,,,,,False,0,Fixed,LAN wired,Fixed
PIVOTCam,PivotCam,Not still documented,ROSS,,,,Search about ROSS et PIVOTCam,,,,,False,0,Fixed,LAN wired,Fixed
Alpha,SonyDslr,Not still documented,Sony,,,,Search about Sony et Alpha,,,,,False,0,Fixed,LAN wired,Fixed
Alpha 7 C R,ILCE-7CR,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 C R,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Alpha 7 Mark 4,ILCE-7M4,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 Mark 4,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Alpha 7 R Mark 4 A,ILCE-7RM4A,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 R Mark 4 A,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Alpha 7 R Mark 5,ILCE-7RM5,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 R Mark 5,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Alpha 7C,ILCE-7C,Sony DSLR,Sony,,,,Search about Sony et Alpha 7C,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Alpha 7C Mark 2,ILCE-7CM2,Sony DSLR,Sony,,,,Search about Sony et Alpha 7C Mark 2,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Alpha 7S Mark 3,ILCE-7SM3,Sony DSLR,Sony,,,,Search about Sony et Alpha 7S Mark 3,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Alpha 9 Mark 2,ILCE-9M2,Sony DSLR,Sony,,,,Search about Sony et Alpha 9 Mark 2,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Alpha one,ILCE-1,Sony DSLR,Sony,,,,Search about Sony et Alpha one,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
BRC-H800,BRCH800,Sony PTZ,Sony,,,,Search about Sony et BRC-H800,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,False,0,Fixed,LAN wired,Fixed
BRC-H900,BRCH900,Sony PTZ,Sony,,,,Search about Sony et BRC-H900,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,False,0,Fixed,LAN wired,Fixed
BRC-X1000,BRCX1000,Sony PTZ,Sony,,,,Search about Sony et BRC-X1000,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,False,0,Fixed,LAN wired,Fixed
BRC-X400,BRCX400,Sony PTZ,Sony,,,,Search about Sony et BRC-X400,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,False,0,Fixed,LAN wired,Fixed
Burano,SonyBurano,Sony Burano,Sony,,,,Search about Sony et Burano,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyBurano,,False,0,Fixed,LAN wired,Fixed
Camcorder,Camcorder700,Not still documented,Sony,,,,Search about Sony et Camcorder,,,,,False,0,Fixed,LAN wired,Fixed
CBM,SonyCBM,Not still documented,Sony,,,,Search about Sony et CBM,,,,,False,0,Fixed,LAN wired,Fixed
CNS-IP,SonyIp,Not still documented,Sony,,,,Search about Sony et CNS-IP,,,,,False,0,Fixed,LAN wired,Fixed
CNS-Legacy,Sony700,Not still documented,Sony,,,,Search about Sony et CNS-Legacy,,,,,False,0,Fixed,LAN wired,Fixed
CNS-MCS,SonyMcs,Not still documented,Sony,,,,Search about Sony et CNS-MCS,,,,,False,0,Fixed,LAN wired,Fixed
FCB-7520,FCB-7520,Sony Visca,Sony,,,,Search about Sony et FCB-7520,Block,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,False,0,Fixed,LAN wired,Fixed
FCB-8230,FCB-8230,Sony Visca,Sony,,,,Search about Sony et FCB-8230,Block,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,False,0,Fixed,LAN wired,Fixed
FCB-8550,FCB-8550,Sony Visca,Sony,,,,Search about Sony et FCB-8550,Block,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,False,0,Fixed,LAN wired,Fixed
FCB-H11,FCBH11,Sony Visca,Sony,,,,Search about Sony et FCB-H11,Block,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,False,0,Fixed,LAN wired,Fixed
FCB7520,FCB7520,Not still documented,Sony,,,,Search about Sony et FCB7520,,,,,False,0,Fixed,LAN wired,Fixed
FCB8230,FCB8230,Not still documented,Sony,,,,Search about Sony et FCB8230,,,,,False,0,Fixed,LAN wired,Fixed
FCB8550,FCB8550,Not still documented,Sony,,,,Search about Sony et FCB8550,,,,,False,0,Fixed,LAN wired,Fixed
FR7,SonyFr7,Not still documented,Sony,,,,Search about Sony et FR7,,,,,False,0,Fixed,LAN wired,Fixed
FS5,PXW-FS5,Sony Lanc,Sony,,,,Search about Sony et FS5,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,False,0,Fixed,LAN wired,Fixed
FS7,PXW-FS7,Sony Lanc,Sony,,,,Search about Sony et FS7,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,False,0,Fixed,LAN wired,Fixed
FX3,ILME-FX3,Sony DSLR,Sony,,,,Search about Sony et FX3,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
FX30,ILME-FX30,Sony DSLR,Sony,,,,Search about Sony et FX30,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
FX6,ILME-FX6,Sony FX6,Sony,,,,Search about Sony et FX6,Large Sensor,USB-C-to-IP,https://support.cyanview.com/docs/Integrations/Sony/SonyFX6,,False,0,Fixed,LAN wired,Fixed
FX6-LANC,ILME-FX6,Sony Lanc,Sony,,,,Search about Sony et FX6-LANC,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,False,0,Fixed,LAN wired,Fixed
FX9-CBM,PXW-FX9,Sony CBM,Sony,,,,Search about Sony et FX9-CBM,Large Sensor,WiFi,https://support.cyanview.com/docs/Integrations/Sony/SonyCBM,,False,0,Fixed,LAN wired,Fixed
FX9,PXW-FX9,Sony FX9,Sony,,,,Search about Sony et FX9,,,,,False,0,Fixed,LAN wired,Fixed
LANC,SonyLanc,Not still documented,Sony,,,,Search about Sony et LANC,,,,,False,0,Fixed,LAN wired,Fixed
PDW-700,PDW-700,Sony 8-Pin,Sony,https://pro.sony/ue_US/products/shoulder-camcorders/pdw-700,,,Search about Sony et PDW-700,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,False,0,Fixed,LAN wired,Fixed
PDW-800,PDW-F800,Sony 8-Pin,Sony,https://pro.sony/ue_US/products/shoulder-camcorders/pdw-f800,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",,Search about Sony et PDW-800,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,False,0,Fixed,LAN wired,Fixed
PMW-EX3,PMW-EX3,Sony 8-Pin,Sony,,"Poor control, no zoom and focus control on that legacy protocol",,Search about Sony et PMW-EX3,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,False,0,Fixed,LAN wired,Fixed
PXW-350,PXW-X350,Sony 8-Pin,Sony,https://pro.sony/fr_BE/products/handheld-camcorders/pxw-x350,,,Search about Sony et PXW-350,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,False,0,Fixed,LAN wired,Fixed
PXW-500,PXW-X500,Sony 8-Pin,Sony,https://pro.sony/fr_FR/products/shoulder-camcorders/pmw-500,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",,Search about Sony et PXW-500,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,False,0,Fixed,LAN wired,Fixed
RX0 Mark 2,DSC-RX0M2,Sony DSLR,Sony,,,,Search about Sony et RX0 Mark 2,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Sony 6700,ILCE-6700,Sony DSLR,Sony,,,,Search about Sony et Sony 6700,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
Venice 1,Venice 1,Sony Venice,Sony,,,,Search about Sony et Venice 1,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyVenice,,False,0,Fixed,LAN wired,Fixed
Venice 2,Venice 2,Sony Venice,Sony,,,,Search about Sony et Venice 2,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyVenice,,False,0,Fixed,LAN wired,Fixed
Venice-IP,VeniceCBM,Not still documented,Sony,,,,Search about Sony et Venice-IP,,,,,False,0,Fixed,LAN wired,Fixed
Venice-Legacy,Venice700,Not still documented,Sony,,,,Search about Sony et Venice-Legacy,,,,,False,0,Fixed,LAN wired,Fixed
Z190,PXW-Z190,Sony Lanc,Sony,https://pro.sony/fr_FR/products/handheld-camcorders/pxw-z190#ProductSpecificationsBlock-pxw-z190,,,Search about Sony et Z190,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,False,0,Fixed,LAN wired,Fixed
Z280,PXW-Z280,Sony CBM,Sony,https://pro.sony/fr_FR/products/handheld-camcorders/pxw-z280,,,Search about Sony et Z280,Large Sensor,WiFi,https://support.cyanview.com/docs/Integrations/Sony/SonyCBM,,False,0,Fixed,LAN wired,Fixed
ZV E1,ZV E1,Sony DSLR,Sony,,,,Search about Sony et ZV E1,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,False,0,Fixed,LAN wired,Fixed
IK-HD1,Ikhd1,Not still documented,Toshiba,,,,Search about Toshiba et IK-HD1,,,,,False,0,Fixed,LAN wired,Fixed
IK-HD5,Ikhd5,Not still documented,Toshiba,,,,Search about Toshiba et IK-HD5,,,,,False,0,Fixed,LAN wired,Fixed
PtzOptics-Generic,PtzOptics,Not still documented,VHD,,,,Search about VHD et PtzOptics-Generic,,,,,False,0,Fixed,LAN wired,Fixed
PH,VisionResearch,Not still documented,VisionResearch,,,,Search about VisionResearch et PH,,,,,False,0,Fixed,LAN wired,Fixed
Bullet HD,Yushida,Not still documented,Yushida,,,,Search about Yushida et Bullet HD,,,,,False,0,Fixed,LAN wired,Fixed
